timestamp,high,low,open,close
1426032000,3.532,2.962,3.074,2.962
1426118400,3.526,2.944,2.962,3.044
1426204800,3.131,2.878,3.044,2.878
1426291200,2.9,2.822,2.878,2.822
1426377600,3.105,2.854,2.822,2.906
1426464000,3.165,2.91,2.906,2.913
1426550400,3.29,2.86,2.913,3.29
1426636800,3.199,2.564,3.29,3.199
1426723200,3.392,3.131,3.199,3.392
1426809600,3.508,3.298,3.392,3.317
1426896000,4.934,3.291,3.317,4.934
1426982400,5.103,4.297,4.934,4.297
1427068800,4.951,4.115,4.297,4.646
1427155200,4.69,2.985,3.212,4.69
1427241600,5.42,4.681,5.228,5.282
1427328000,5.704,4.655,5.282,5.017
1427414400,5.117,4.608,5.017,4.865
1427500800,5.088,4.688,4.865,4.877
1427587200,4.842,4.517,4.877,4.575
1427673600,4.761,3.228,4.602,4.445
1427760000,4.402,3.945,4.445,4.046
1427846400,4.085,3.706,4.046,3.831
1427932800,4.6,3.882,3.831,4.529
1428019200,4.57,4.273,4.529,4.329
1428105600,4.345,3.94,4.329,4.158
1428192000,4.266,3.905,4.158,4.167
1428278400,4.199,3.957,4.167,4.1
1428364800,4.098,3.557,4.1,3.797
1428451200,3.891,3.488,3.797,3.642
1428537600,3.674,3.312,3.642,3.402
1428624000,3.357,3.091,3.402,3.235
1428710400,3.476,3.252,3.235,3.341
1428796800,3.41,3.245,3.341,3.292
1428883200,3.229,2.987,3.292,3.182
1428969600,3.128,2.993,3.182,3.111
1429056000,3.182,2.959,3.111,3.048
1429142400,3.148,2.966,3.048,3.018
1429228800,2.967,2.76,3.018,2.822
1429315200,2.986,2.778,2.822,2.888
1429401600,2.926,2.683,2.888,2.839
1429488000,2.87,2.651,2.839,2.653
1429574400,2.94,2.728,2.653,2.912
1429660800,3.35,2.875,2.912,3.191
1429747200,3.769,3.088,3.191,3.625
1429833600,3.605,3.09,3.625,3.201
1429920000,3.254,3.037,3.201,3.121
1430006400,3.125,2.931,3.121,3.029
1430092800,3.219,2.954,3.029,2.976
1430179200,3.042,2.825,2.976,2.929
1430265600,2.971,2.829,2.929,2.93
1430352000,3.11,2.836,2.93,2.975
1430438400,2.98,2.682,2.975,2.771
1430524800,2.89,2.706,2.771,2.775
1430611200,2.863,2.647,2.775,2.695
1430697600,3.018,2.61,2.695,2.896
1430784000,2.91,2.809,2.896,2.894
1430870400,2.942,2.774,2.894,2.845
1430956800,2.943,2.781,2.845,2.838
1431043200,2.92,2.737,2.838,2.81
1431129600,2.892,2.709,2.81,2.776
1431216000,2.76,2.635,2.776,2.676
1431302400,2.829,2.612,2.676,2.725
1431388800,2.781,2.684,2.725,2.708
1431475200,2.709,2.629,2.708,2.676
1431561600,2.912,2.675,2.676,2.831
1431648000,2.96,2.83,2.831,2.832
1431734400,3.071,2.823,2.832,2.988
1431820800,3.067,2.871,2.988,2.928
1431907200,2.908,2.782,2.928,2.866
1431993600,2.91,2.784,2.866,2.852
1432080000,2.948,2.772,2.852,2.908
1432166400,2.926,2.825,2.908,2.867
1432252800,2.961,2.87,2.867,2.916
1432339200,2.944,2.853,2.916,2.898
1432425600,2.942,2.889,2.898,2.897
1432512000,2.906,2.816,2.897,2.83
1432598400,2.887,2.602,2.83,2.69
1432684800,2.717,2.605,2.69,2.629
1432771200,2.853,2.611,2.629,2.732
1432857600,2.873,2.697,2.732,2.835
1432944000,2.813,2.687,2.835,2.708
1433030400,2.841,2.662,2.708,2.747
1433116800,3.329,2.635,2.747,2.644
1433203200,2.844,2.657,2.644,2.804
1433289600,2.883,2.716,2.804,2.732
1433376000,2.825,2.706,2.732,2.798
1433462400,2.845,2.719,2.798,2.845
1433548800,2.856,2.785,2.845,2.807
1433635200,2.838,2.76,2.807,2.818
1433721600,2.912,2.809,2.818,2.818
1433808000,2.89,2.755,2.818,2.778
1433894400,2.778,2.647,2.778,2.707
1433980800,2.782,2.674,2.707,2.777
1434067200,2.906,2.749,2.777,2.772
1434153600,2.899,2.778,2.772,2.801
1434240000,2.852,2.747,2.801,2.796
1434326400,2.88,2.747,2.796,2.749
1434412800,3.075,2.88,2.749,2.955
1434499200,3.053,2.87,2.955,3.003
1434585600,3.024,2.902,3.003,2.949
1434672000,2.942,2.854,2.949,2.883
1434758400,2.935,2.871,2.883,2.874
1434844800,2.907,2.854,2.874,2.871
1434931200,2.935,2.893,2.871,2.898
1435017600,2.886,2.835,2.898,2.859
1435104000,2.853,2.805,2.859,2.836
1435190400,2.86,2.804,2.836,2.823
1435276800,2.896,2.821,2.823,2.821
1435363200,2.934,1.659,2.821,2.781
1435449600,2.807,2.618,2.781,2.74
1435536000,2.847,2.773,2.74,2.786
1435622400,2.966,2.789,2.786,2.871
1435708800,2.909,2.777,2.871,2.816
1435795200,2.921,2.763,2.816,2.913
1435881600,2.991,2.863,2.913,2.968
1435968000,3.374,2.973,2.968,3.103
1436054400,3.258,3.061,3.103,3.08
1436140800,3.132,3.035,3.08,3.113
1436227200,3.083,2.955,3.113,2.974
1436313600,3.009,2.923,2.974,2.966
1436400000,3.157,2.92,2.966,3.127
1436486400,4.254,3.239,3.127,3.937
1436572800,4.429,3.664,3.937,3.801
1436659200,4.272,4.02,3.801,4.126
1436745600,3.894,3.638,4.126,3.69
1436832000,3.765,3.624,3.69,3.696
1436918400,3.684,3.551,3.696,3.608
1437004800,3.623,3.496,3.608,3.549
1437091200,3.856,3.54,3.549,3.766
1437177600,4.053,3.601,3.766,3.691
1437264000,3.756,3.502,3.691,3.603
1437350400,3.746,3.618,3.603,3.688
